id,title,description,publisher,trove_url,download_text,issue_count,start_date,end_date,start_year,end_year,extent,place,issn,catalogue_url
nla.obj-3049445806,American archives of rehabilitation therapy : official publication of the American Association of Rehabilitation Therapists.,,The Association,https://nla.gov.au/nla.obj-3049445806,,0,1953-01-01,,,,v. ; 23 cm.,,0002-7324,https://nla.gov.au/nla.cat-vn722442
nla.obj-48330386,Amtsblatt fur das Schutzgebiet Deutsch-Neuguinea.,,Kaiserlichen Gouvernement in Rabaul,https://nla.gov.au/nla.obj-48330386,https://trove-journals.s3.ap-southeast-2.amazonaws.com/amtsblatt-fur-das-schutzgebiet-deutsch-neuguinea-nla.obj-48330386.zip,143,1909-01-01,,1909,1923,v. ; 29 cm.,Papua New Guinea,,https://nla.gov.au/nla.cat-vn2925185
nla.obj-2976852355,"An arranged catalogue of the books in the Australian Subscription Library and Reading Rooms, with the rules, regulations, and by-laws, and a list of members and subscribers.",,Printed by J. Tegg & Co.,https://nla.gov.au/nla.obj-2976852355,https://trove-journals.s3.ap-southeast-2.amazonaws.com/an-arranged-catalogue-of-the-books-in-the-australi-nla.obj-2976852355.zip,1,1839-01-01,1839-01-01,1839,1839,volumes ; 21 cm.,New South Wales,,https://nla.gov.au/nla.cat-vn2025513
nla.obj-320790312,Angry Penguins broadsheet.,,Reed & Harris,https://nla.gov.au/nla.obj-320790312,https://trove-journals.s3.ap-southeast-2.amazonaws.com/angry-penguins-broadsheet-nla.obj-320790312.zip,10,1946-01-01,1946-12-01,1946,1946,10 v. : ill. ; 25 cm.,Australia,,https://nla.gov.au/nla.cat-vn2744622
nla.obj-3071128587,Angry Penguins.,,Adelaide University Arts Association,https://nla.gov.au/nla.obj-3071128587,https://trove-journals.s3.ap-southeast-2.amazonaws.com/angry-penguins-nla.obj-3071128587.zip,9,1940-01-01,1946-07-01,1940,1946,9 v. : ill. ; 22-27 cm.,Australia,,https://nla.gov.au/nla.cat-vn1833397
nla.obj-512588480,"Anniversary address by the president : list of members, and rules and regulations of the Agricultural Society of New South Wales, instituted on the 5th of July, 1822.",,Government Printer,https://nla.gov.au/nla.obj-512588480,https://trove-journals.s3.ap-southeast-2.amazonaws.com/anniversary-address-by-the-president-list-of-membe-nla.obj-512588480.zip,4,1823-01-01,1827-07-01,1823,1827,4 volumes ; 18 cm.,New South Wales,,https://nla.gov.au/nla.cat-vn1809446
nla.obj-359567420,Anniversary air pageant : official programme,,The Club.,https://nla.gov.au/nla.obj-359567420,https://trove-journals.s3.ap-southeast-2.amazonaws.com/anniversary-air-pageant-official-programme-nla.obj-359567420.zip,1,0019-01-01,1938-02-01,1938,1938,v. ; 22 cm.,New South Wales,,https://nla.gov.au/nla.cat-vn1995578
nla.obj-2621467865,Annual conference,,The Party,https://nla.gov.au/nla.obj-2621467865,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-conference-nla.obj-2621467865.zip,1,1913-01-01,1957-06-15,1957,1957,v. ; 18 cm.,New South Wales,,https://nla.gov.au/nla.cat-vn1981401
nla.obj-3142345741,Annual exhibition of the Art Society of New South Wales.,,Art Society of New South Wales,https://nla.gov.au/nla.obj-3142345741,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-exhibition-of-the-art-society-of-new-south--nla.obj-3142345741.zip,1,1880-01-01,1899-01-01,1899,1899,,New South Wales,,https://nla.gov.au/nla.cat-vn2900387
nla.obj-286054824,Annual general meeting,,The Association.,https://nla.gov.au/nla.obj-286054824,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-general-meeting-nla.obj-286054824.zip,15,0019-01-01,1970-05-27,1935,1970,v. ; 26 x 34 cm.,Queensland,,https://nla.gov.au/nla.cat-vn1281763
nla.obj-3098790730,Annual general meeting,,The School,https://nla.gov.au/nla.obj-3098790730,,0,1981-01-01,,,,v. ; 25 cm.,,,https://nla.gov.au/nla.cat-vn1387592
nla.obj-3144635780,Annual report,,Ludbrooks Limited.,https://nla.gov.au/nla.obj-3144635780,,0,0019-01-01,,,,v. ; 27 cm.,,,https://nla.gov.au/nla.cat-vn1870730
nla.obj-3048623358,Annual report,,Greek Orthodox Community of South Australia,https://nla.gov.au/nla.obj-3048623358,,0,0199-01-01,,,,v. : ill. ; 30 cm.,South Australia,,https://nla.gov.au/nla.cat-vn699795
nla.obj-666471268,Annual report,,Appropriations and Administration Committee,,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-nla.obj-666471268.zip,2,,,,,v. ; 26 cm.,,,https://nla.gov.au/nla.cat-vn6003039
nla.obj-840686367,Annual report,,The Company.,https://nla.gov.au/nla.obj-840686367,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-nla.obj-840686367.zip,4,0194-01-01,1953-01-01,1950,1953,v. ; 26 cm.,Australia,,https://nla.gov.au/nla.cat-vn1780915
nla.obj-2059848701,Annual report,,The Association.,https://nla.gov.au/nla.obj-2059848701,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-nla.obj-2059848701.zip,1,1981-01-01,1981-01-01,1981,1981,v. ; 21 cm.,Australian Capital Territory,,https://nla.gov.au/nla.cat-vn147542
nla.obj-2058789449,Annual report,,The Chamber,https://nla.gov.au/nla.obj-2058789449,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-nla.obj-2058789449.zip,29,1960-01-01,1991-12-31,1962,1991,31 v. ; 21 cm.,Australian Capital Territory,,https://nla.gov.au/nla.cat-vn1228241
nla.obj-2866193656,Annual report,,The Department,https://nla.gov.au/nla.obj-2866193656,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-nla.obj-2866193656.zip,1,1961-01-01,1964-01-01,1964,1964,7v. : ill. ; 24-32 cm.,,,https://nla.gov.au/nla.cat-vn1367561
nla.obj-3193463589,Annual report,,The Company.,https://nla.gov.au/nla.obj-3193463589,,0,0019-01-01,,,,v.,,,https://nla.gov.au/nla.cat-vn2048351
nla.obj-2059932345,Annual report,,The Chamber,https://nla.gov.au/nla.obj-2059932345,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-nla.obj-2059932345.zip,6,1984-01-01,1990-01-01,1984,1990,v. ; 21 cm.,Australian Capital Territory,,https://nla.gov.au/nla.cat-vn147838
nla.obj-1127412890,Annual report,,The Society,https://nla.gov.au/nla.obj-1127412890,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-nla.obj-1127412890.zip,8,1947-01-01,1954-01-01,1947,1954,v. ; 21-30 cm.,Queensland,,https://nla.gov.au/nla.cat-vn2234821
nla.obj-920090204,Annual report ...,,Australian Government Publishing Service,https://nla.gov.au/nla.obj-920090204,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-nla.obj-920090204.zip,7,1984-01-01,1991-06-30,1986,1991,8 volumes ; 25 cm.,Australia,0814-4915,https://nla.gov.au/nla.cat-vn2984388
nla.obj-319603860,Annual report / Marriage Guidance Council of New South Wales.,,The Council.,https://nla.gov.au/nla.obj-319603860,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-marriage-guidance-council-of-new-sou-nla.obj-319603860.zip,2,0019-01-01,1968-12-04,1964,1968,v. : illustrations ; 30 cm.,New South Wales,,https://nla.gov.au/nla.cat-vn1701005
nla.obj-316415595,Annual report and balance sheet,,Riverina & North East Victoria TV Limited,https://nla.gov.au/nla.obj-316415595,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-and-balance-sheet-nla.obj-316415595.zip,13,1972-01-01,1984-06-30,1972,1984,v. ; 27 cm.,,,https://nla.gov.au/nla.cat-vn495030
nla.obj-320403969,Annual report and balance sheet,,Riverina Television Limited,https://nla.gov.au/nla.obj-320403969,https://trove-journals.s3.ap-southeast-2.amazonaws.com/annual-report-and-balance-sheet-nla.obj-320403969.zip,2,0019-01-01,1971-06-30,1970,1971,v. ; 27 cm.,,,https://nla.gov.au/nla.cat-vn2017576
